0508-5の結果
10 10AY 0508 14:26:54
Q05 図の三角形について次を求めよ
[1]  x(deg)
　正解 31(deg)
　答え 31
　得点 1
[2]  辺AC
　正解 5
　答え sq(5)
　得点 0
[3]  tan(x)
　正解 fr(3,4)
　答え fr(4,3)
　得点 0
[4]  cos(x)
　正解 fr(4,5)
　答え fr(sq(5),4)
　得点 0
[5]  sin(x)
　正解 fr(3,5)
　答え fr(sq(5),3)
　得点 0
[6]  tan(59(deg))
　正解 fr(4,3)
　答え fr(3,4)
　得点 0
[7]  cos(59(deg))
　正解 fr(3,5)
　答え fr(sq(5),3)
　得点 0
[8]  sin(59(deg))
　正解 fr(4,5)
　答え fr(4sq(5),5)
　得点 0
